Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Time to complete task:,4.950232
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,1.209339,10,E,E,0.4002457,0.4
1,2,0.621994,30,NE,NE,0.600502,0.6
1,3,0.5516396,20,N,N,0.200058,0.2
1,4,0.5227776,10,NE,NE,0.4000435,0.4
1,5,0.6290474,20,NW,NW,0.2004929,0.2
1,6,0.4699135,30,E,E,0.200901,0.2
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,1.030617,10,NW,NW,0.6005135,0.6
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,Miss,10,NE,Miss,0.2011719,200
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,Miss,20,E,Miss,0.6007595,600
1,2,Miss,30,E,Miss,0.2002201,200
1,3,Miss,20,E,Miss,0.4016285,400
1,4,Miss,10,SE,Miss,0.4007778,400
1,5,Miss,30,SW,Miss,0.4005833,400
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,0.5472794,30,SW,SW,10.31793,0.6
1,2,0.3856287,10,NE,SW,12.86988,0.4
1,3,0.1059084,10,N,SW,15.25929,0.6
1,4,0.1057568,20,SW,SW,17.36947,0.4
1,5,0.03578377,30,W,SW,19.4788,0.2
1,6,0.0539093,10,S,SW,21.5203,0.4
1,7,0.01648712,10,NW,SW,23.57893,0.6
1,8,0.1249046,10,NE,SW,25.59965,0.6
1,9,0.1841221,30,SE,SW,27.72954,0.2
1,10,0.1155243,10,NW,SW,29.91862,0.4
1,1,0.3800087,10,SW,SW,35.7033,0.4
1,2,0.005550385,10,N,SW,38.08792,0.6
1,3,0.1748962,10,SW,SW,40.09765,0.6
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,0.4999847,20,NE,SW,0.2004852,0.2
1,2,0.1238518,20,N,SW,28.02468,0.2
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,0.5583916,10,W,SW,10.34584,0.6
1,2,0.003663063,20,S,SW,12.90923,0.2
1,3,0.1311188,30,W,SW,14.92201,0.4
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,0.05810165,30,SE,SW,11.22304,0.2
1,2,0.1331358,10,S,SW,13.28673,0.6
1,3,0.09644222,20,NW,SW,15.42425,0.6
1,4,0.07497406,10,SE,SW,17.525,0.6
1,5,0.1565418,10,SW,SW,19.60517,0.4
1,6,0.1443024,10,S,SW,21.76574,0.2
1,7,0.1137924,20,E,SW,23.91508,0.6
1,8,0.1567631,30,SW,SW,26.0334,0.6
1,9,0.02385139,20,E,SW,28.19521,0.4
1,10,0.1657658,30,SE,SW,30.22371,0.4
1,1,0.5193176,10,E,SW,33.96949,0.6
1,2,0.1651611,20,SE,SW,36.49338,0.6
1,3,0.03580856,10,S,SW,38.66293,0.6
1,4,0.04529572,30,S,SW,40.70269,0.6
1,5,0.04467392,20,W,SW,42.75236,0.4
1,6,0.07638168,20,N,SW,44.80183,0.6
1,7,0.1335068,10,SW,SW,46.88359,0.6
1,8,0.1363945,30,E,SW,49.02133,0.2
1,9,0.1739769,30,NW,SW,51.16264,0.2
